#: table_doi: 10.17182/hepdata.115022.v2/t25
#: name: ak7_correlations_y1_y1
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $|y| < 0.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y1_y1.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
115.0   97.0   133.0   115.0   97.0   133.0   1.0
115.0   97.0   133.0   153.5   133.0   174.0   -0.42617
115.0   97.0   133.0   197.0   174.0   220.0   0.11758
115.0   97.0   133.0   246.0   220.0   272.0   -0.04149
115.0   97.0   133.0   301.0   272.0   330.0   0.017975
115.0   97.0   133.0   362.5   330.0   395.0   -0.0087238
115.0   97.0   133.0   431.5   395.0   468.0   0.0026236
115.0   97.0   133.0   508.0   468.0   548.0   -0.0017103
115.0   97.0   133.0   593.0   548.0   638.0   6.19e-06
115.0   97.0   133.0   687.5   638.0   737.0   -0.00064879
115.0   97.0   133.0   791.5   737.0   846.0   -0.00026946
115.0   97.0   133.0   906.5   846.0   967.0   -0.00032538
115.0   97.0   133.0   1034.0   967.0   1101.0   -0.00018301
115.0   97.0   133.0   1174.5   1101.0   1248.0   -0.00013555
115.0   97.0   133.0   1329.0   1248.0   1410.0   -7.8651e-05
115.0   97.0   133.0   1499.0   1410.0   1588.0   -5.9746e-05
115.0   97.0   133.0   1686.0   1588.0   1784.0   -3.0282e-05
115.0   97.0   133.0   1892.0   1784.0   2000.0   -2.6247e-05
115.0   97.0   133.0   2119.0   2000.0   2238.0   -1.245e-05
115.0   97.0   133.0   2369.0   2238.0   2500.0   -8.602e-06
115.0   97.0   133.0   2643.5   2500.0   2787.0   -5.4227e-07
115.0   97.0   133.0   2945.0   2787.0   3103.0   -2.4508e-06
153.5   133.0   174.0   115.0   97.0   133.0   -0.42617
153.5   133.0   174.0   153.5   133.0   174.0   1.0
153.5   133.0   174.0   197.0   174.0   220.0   -0.29766
153.5   133.0   174.0   246.0   220.0   272.0   0.1069
153.5   133.0   174.0   301.0   272.0   330.0   -0.047934
153.5   133.0   174.0   362.5   330.0   395.0   0.021133
153.5   133.0   174.0   431.5   395.0   468.0   -0.0081072
153.5   133.0   174.0   508.0   468.0   548.0   0.0032371
153.5   133.0   174.0   593.0   548.0   638.0   -0.00094373
153.5   133.0   174.0   687.5   638.0   737.0   0.00063006
153.5   133.0   174.0   791.5   737.0   846.0   -2.8796e-05
153.5   133.0   174.0   906.5   846.0   967.0   0.00018655
153.5   133.0   174.0   1034.0   967.0   1101.0   5.5258e-05
153.5   133.0   174.0   1174.5   1101.0   1248.0   6.2597e-05
153.5   133.0   174.0   1329.0   1248.0   1410.0   2.9446e-05
153.5   133.0   174.0   1499.0   1410.0   1588.0   2.5432e-05
153.5   133.0   174.0   1686.0   1588.0   1784.0   1.1989e-05
153.5   133.0   174.0   1892.0   1784.0   2000.0   1.0888e-05
153.5   133.0   174.0   2119.0   2000.0   2238.0   5.0111e-06
153.5   133.0   174.0   2369.0   2238.0   2500.0   3.5353e-06
153.5   133.0   174.0   2643.5   2500.0   2787.0   2.0068e-07
153.5   133.0   174.0   2945.0   2787.0   3103.0   9.8287e-07
197.0   174.0   220.0   115.0   97.0   133.0   0.11758
197.0   174.0   220.0   153.5   133.0   174.0   -0.29766
197.0   174.0   220.0   197.0   174.0   220.0   1.0
197.0   174.0   220.0   246.0   220.0   272.0   -0.43149
197.0   174.0   220.0   301.0   272.0   330.0   0.19946
197.0   174.0   220.0   362.5   330.0   395.0   -0.086205
197.0   174.0   220.0   431.5   395.0   468.0   0.034587
197.0   174.0   220.0   508.0   468.0   548.0   -0.012575
197.0   174.0   220.0   593.0   548.0   638.0   0.0046301
197.0   174.0   220.0   687.5   638.0   737.0   -0.0018456
197.0   174.0   220.0   791.5   737.0   846.0   0.00066178
197.0   174.0   220.0   906.5   846.0   967.0   -0.00028779
197.0   174.0   220.0   1034.0   967.0   1101.0   8.2158e-05
197.0   174.0   220.0   1174.5   1101.0   1248.0   -4.5185e-05
197.0   174.0   220.0   1329.0   1248.0   1410.0   7.6412e-06
197.0   174.0   220.0   1499.0   1410.0   1588.0   -9.3027e-06
197.0   174.0   220.0   1686.0   1588.0   1784.0   -1.6577e-07
197.0   174.0   220.0   1892.0   1784.0   2000.0   -2.6052e-06
197.0   174.0   220.0   2119.0   2000.0   2238.0   -5.7137e-07
197.0   174.0   220.0   2369.0   2238.0   2500.0   -6.6617e-07
197.0   174.0   220.0   2643.5   2500.0   2787.0   1.4118e-07
197.0   174.0   220.0   2945.0   2787.0   3103.0   -9.0783e-08
246.0   220.0   272.0   115.0   97.0   133.0   -0.04149
246.0   220.0   272.0   153.5   133.0   174.0   0.1069
246.0   220.0   272.0   197.0   174.0   220.0   -0.43149
246.0   220.0   272.0   246.0   220.0   272.0   1.0
246.0   220.0   272.0   301.0   272.0   330.0   -0.49707
246.0   220.0   272.0   362.5   330.0   395.0   0.21652
246.0   220.0   272.0   431.5   395.0   468.0   -0.086899
246.0   220.0   272.0   508.0   468.0   548.0   0.031599
246.0   220.0   272.0   593.0   548.0   638.0   -0.01167
246.0   220.0   272.0   687.5   638.0   737.0   0.0045684
246.0   220.0   272.0   791.5   737.0   846.0   -0.0017004
246.0   220.0   272.0   906.5   846.0   967.0   0.00068378
246.0   220.0   272.0   1034.0   967.0   1101.0   -0.00022836
246.0   220.0   272.0   1174.5   1101.0   1248.0   9.7516e-05
246.0   220.0   272.0   1329.0   1248.0   1410.0   -2.8016e-05
246.0   220.0   272.0   1499.0   1410.0   1588.0   1.6426e-05
246.0   220.0   272.0   1686.0   1588.0   1784.0   -2.8698e-06
246.0   220.0   272.0   1892.0   1784.0   2000.0   3.4168e-06
246.0   220.0   272.0   2119.0   2000.0   2238.0   2.5043e-08
246.0   220.0   272.0   2369.0   2238.0   2500.0   7.6019e-07
246.0   220.0   272.0   2643.5   2500.0   2787.0   -3.3516e-07
246.0   220.0   272.0   2945.0   2787.0   3103.0   1.3307e-07
301.0   272.0   330.0   115.0   97.0   133.0   0.017975
301.0   272.0   330.0   153.5   133.0   174.0   -0.047934
301.0   272.0   330.0   197.0   174.0   220.0   0.19946
301.0   272.0   330.0   246.0   220.0   272.0   -0.49707
301.0   272.0   330.0   301.0   272.0   330.0   1.0
301.0   272.0   330.0   362.5   330.0   395.0   -0.50299
301.0   272.0   330.0   431.5   395.0   468.0   0.20394
301.0   272.0   330.0   508.0   468.0   548.0   -0.073641
301.0   272.0   330.0   593.0   548.0   638.0   0.026926
301.0   272.0   330.0   687.5   638.0   737.0   -0.010537
301.0   272.0   330.0   791.5   737.0   846.0   0.0040259
301.0   272.0   330.0   906.5   846.0   967.0   -0.0015459
301.0   272.0   330.0   1034.0   967.0   1101.0   0.00057091
301.0   272.0   330.0   1174.5   1101.0   1248.0   -0.00020703
301.0   272.0   330.0   1329.0   1248.0   1410.0   8.1798e-05
301.0   272.0   330.0   1499.0   1410.0   1588.0   -2.8397e-05
301.0   272.0   330.0   1686.0   1588.0   1784.0   1.2712e-05
301.0   272.0   330.0   1892.0   1784.0   2000.0   -3.5019e-06
301.0   272.0   330.0   2119.0   2000.0   2238.0   2.1362e-06
301.0   272.0   330.0   2369.0   2238.0   2500.0   -1.5541e-07
301.0   272.0   330.0   2643.5   2500.0   2787.0   1.3619e-06
301.0   272.0   330.0   2945.0   2787.0   3103.0   -9.683e-08
362.5   330.0   395.0   115.0   97.0   133.0   -0.0087238
362.5   330.0   395.0   153.5   133.0   174.0   0.021133
362.5   330.0   395.0   197.0   174.0   220.0   -0.086205
362.5   330.0   395.0   246.0   220.0   272.0   0.21652
362.5   330.0   395.0   301.0   272.0   330.0   -0.50299
362.5   330.0   395.0   362.5   330.0   395.0   1.0
362.5   330.0   395.0   431.5   395.0   468.0   -0.49505
362.5   330.0   395.0   508.0   468.0   548.0   0.18118
362.5   330.0   395.0   593.0   548.0   638.0   -0.065806
362.5   330.0   395.0   687.5   638.0   737.0   0.025947
362.5   330.0   395.0   791.5   737.0   846.0   -0.009935
362.5   330.0   395.0   906.5   846.0   967.0   0.0037795
362.5   330.0   395.0   1034.0   967.0   1101.0   -0.0013772
362.5   330.0   395.0   1174.5   1101.0   1248.0   0.0005384
362.5   330.0   395.0   1329.0   1248.0   1410.0   -0.00018752
362.5   330.0   395.0   1499.0   1410.0   1588.0   8.1905e-05
362.5   330.0   395.0   1686.0   1588.0   1784.0   -2.5207e-05
362.5   330.0   395.0   1892.0   1784.0   2000.0   1.3e-05
362.5   330.0   395.0   2119.0   2000.0   2238.0   -2.4265e-06
362.5   330.0   395.0   2369.0   2238.0   2500.0   1.772e-06
362.5   330.0   395.0   2643.5   2500.0   2787.0   -1.4606e-06
362.5   330.0   395.0   2945.0   2787.0   3103.0   9.5663e-07
431.5   395.0   468.0   115.0   97.0   133.0   0.0026236
431.5   395.0   468.0   153.5   133.0   174.0   -0.0081072
431.5   395.0   468.0   197.0   174.0   220.0   0.034587
431.5   395.0   468.0   246.0   220.0   272.0   -0.086899
431.5   395.0   468.0   301.0   272.0   330.0   0.20394
431.5   395.0   468.0   362.5   330.0   395.0   -0.49505
431.5   395.0   468.0   431.5   395.0   468.0   1.0
431.5   395.0   468.0   508.0   468.0   548.0   -0.45583
431.5   395.0   468.0   593.0   548.0   638.0   0.16805
431.5   395.0   468.0   687.5   638.0   737.0   -0.06625
431.5   395.0   468.0   791.5   737.0   846.0   0.025552
