#: table_doi: 10.17182/hepdata.115022.v2/t27
#: name: ak7_correlations_y1_y3
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $|y| < 0.5$and $1.0 < |y| < 1.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y1_y3.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
115.0   97.0   133.0   115.0   97.0   133.0   0.038778
115.0   97.0   133.0   153.5   133.0   174.0   -0.0093063
115.0   97.0   133.0   197.0   174.0   220.0   0.0026292
115.0   97.0   133.0   246.0   220.0   272.0   -0.00086856
115.0   97.0   133.0   301.0   272.0   330.0   -1.2284e-05
115.0   97.0   133.0   362.5   330.0   395.0   -0.00048274
115.0   97.0   133.0   431.5   395.0   468.0   -0.00016671
115.0   97.0   133.0   508.0   468.0   548.0   -0.00024542
115.0   97.0   133.0   593.0   548.0   638.0   -0.00023785
115.0   97.0   133.0   687.5   638.0   737.0   -0.00013285
115.0   97.0   133.0   791.5   737.0   846.0   -0.00013585
115.0   97.0   133.0   906.5   846.0   967.0   -8.0449e-05
115.0   97.0   133.0   1034.0   967.0   1101.0   -4.6177e-05
115.0   97.0   133.0   1174.5   1101.0   1248.0   -4.3739e-05
115.0   97.0   133.0   1329.0   1248.0   1410.0   -1.64e-05
115.0   97.0   133.0   1499.0   1410.0   1588.0   -1.0402e-05
115.0   97.0   133.0   1686.0   1588.0   1784.0   -1.5897e-06
115.0   97.0   133.0   1892.0   1784.0   2000.0   -1.2528e-06
115.0   97.0   133.0   2119.0   2000.0   2238.0   -1.5912e-06
153.5   133.0   174.0   115.0   97.0   133.0   -0.0086368
153.5   133.0   174.0   153.5   133.0   174.0   0.045974
153.5   133.0   174.0   197.0   174.0   220.0   -0.0015564
153.5   133.0   174.0   246.0   220.0   272.0   0.00094065
153.5   133.0   174.0   301.0   272.0   330.0   0.00010922
153.5   133.0   174.0   362.5   330.0   395.0   0.0001807
153.5   133.0   174.0   431.5   395.0   468.0   8.7073e-05
153.5   133.0   174.0   508.0   468.0   548.0   9.4311e-05
153.5   133.0   174.0   593.0   548.0   638.0   0.00010733
153.5   133.0   174.0   687.5   638.0   737.0   5.0137e-05
153.5   133.0   174.0   791.5   737.0   846.0   5.8317e-05
153.5   133.0   174.0   906.5   846.0   967.0   3.2159e-05
153.5   133.0   174.0   1034.0   967.0   1101.0   1.9653e-05
153.5   133.0   174.0   1174.5   1101.0   1248.0   1.7718e-05
153.5   133.0   174.0   1329.0   1248.0   1410.0   7.0109e-06
153.5   133.0   174.0   1499.0   1410.0   1588.0   4.182e-06
153.5   133.0   174.0   1686.0   1588.0   1784.0   7.1496e-07
153.5   133.0   174.0   1892.0   1784.0   2000.0   5.2304e-07
153.5   133.0   174.0   2119.0   2000.0   2238.0   6.4357e-07
197.0   174.0   220.0   115.0   97.0   133.0   0.001125
197.0   174.0   220.0   153.5   133.0   174.0   0.0014891
197.0   174.0   220.0   197.0   174.0   220.0   0.01822
197.0   174.0   220.0   246.0   220.0   272.0   0.0067624
197.0   174.0   220.0   301.0   272.0   330.0   -0.002411
197.0   174.0   220.0   362.5   330.0   395.0   0.0013357
197.0   174.0   220.0   431.5   395.0   468.0   -0.00058092
197.0   174.0   220.0   508.0   468.0   548.0   0.0002828
197.0   174.0   220.0   593.0   548.0   638.0   -0.00016922
197.0   174.0   220.0   687.5   638.0   737.0   6.0977e-05
197.0   174.0   220.0   791.5   737.0   846.0   -4.1371e-05
197.0   174.0   220.0   906.5   846.0   967.0   9.3092e-06
197.0   174.0   220.0   1034.0   967.0   1101.0   -9.6301e-06
197.0   174.0   220.0   1174.5   1101.0   1248.0   3.2644e-07
197.0   174.0   220.0   1329.0   1248.0   1410.0   -2.7438e-06
197.0   174.0   220.0   1499.0   1410.0   1588.0   5.1615e-07
197.0   174.0   220.0   1686.0   1588.0   1784.0   -4.8423e-07
197.0   174.0   220.0   1892.0   1784.0   2000.0   6.3411e-08
197.0   174.0   220.0   2119.0   2000.0   2238.0   -7.6061e-08
246.0   220.0   272.0   115.0   97.0   133.0   -0.00017671
246.0   220.0   272.0   153.5   133.0   174.0   -0.00015563
246.0   220.0   272.0   197.0   174.0   220.0   0.0061568
246.0   220.0   272.0   246.0   220.0   272.0   0.02986
246.0   220.0   272.0   301.0   272.0   330.0   -0.0082964
246.0   220.0   272.0   362.5   330.0   395.0   0.0045359
246.0   220.0   272.0   431.5   395.0   468.0   -0.0020233
246.0   220.0   272.0   508.0   468.0   548.0   0.00085434
246.0   220.0   272.0   593.0   548.0   638.0   -0.00027868
246.0   220.0   272.0   687.5   638.0   737.0   0.00014117
246.0   220.0   272.0   791.5   737.0   846.0   -5.2887e-05
246.0   220.0   272.0   906.5   846.0   967.0   3.4115e-05
246.0   220.0   272.0   1034.0   967.0   1101.0   -9.3086e-06
246.0   220.0   272.0   1174.5   1101.0   1248.0   8.9332e-06
246.0   220.0   272.0   1329.0   1248.0   1410.0   -9.447e-07
246.0   220.0   272.0   1499.0   1410.0   1588.0   1.1817e-06
246.0   220.0   272.0   1686.0   1588.0   1784.0   -1.4761e-07
246.0   220.0   272.0   1892.0   1784.0   2000.0   1.4878e-07
246.0   220.0   272.0   2119.0   2000.0   2238.0   -1.0762e-07
301.0   272.0   330.0   115.0   97.0   133.0   -0.00046164
301.0   272.0   330.0   153.5   133.0   174.0   0.00070224
301.0   272.0   330.0   197.0   174.0   220.0   -0.0019462
301.0   272.0   330.0   246.0   220.0   272.0   -0.0067996
301.0   272.0   330.0   301.0   272.0   330.0   0.026314
301.0   272.0   330.0   362.5   330.0   395.0   -0.0088074
301.0   272.0   330.0   431.5   395.0   468.0   0.0047318
301.0   272.0   330.0   508.0   468.0   548.0   -0.0015576
301.0   272.0   330.0   593.0   548.0   638.0   0.00057679
301.0   272.0   330.0   687.5   638.0   737.0   -0.00024689
301.0   272.0   330.0   791.5   737.0   846.0   0.00012409
301.0   272.0   330.0   906.5   846.0   967.0   -4.7217e-05
301.0   272.0   330.0   1034.0   967.0   1101.0   2.6385e-05
301.0   272.0   330.0   1174.5   1101.0   1248.0   -7.3885e-06
301.0   272.0   330.0   1329.0   1248.0   1410.0   5.3891e-06
301.0   272.0   330.0   1499.0   1410.0   1588.0   7.1548e-07
301.0   272.0   330.0   1686.0   1588.0   1784.0   1.2456e-06
301.0   272.0   330.0   1892.0   1784.0   2000.0   8.6269e-07
301.0   272.0   330.0   2119.0   2000.0   2238.0   8.7204e-08
362.5   330.0   395.0   115.0   97.0   133.0   -0.00039224
362.5   330.0   395.0   153.5   133.0   174.0   -3.0672e-06
362.5   330.0   395.0   197.0   174.0   220.0   0.00096272
362.5   330.0   395.0   246.0   220.0   272.0   0.0033763
362.5   330.0   395.0   301.0   272.0   330.0   -0.0072862
362.5   330.0   395.0   362.5   330.0   395.0   0.015826
362.5   330.0   395.0   431.5   395.0   468.0   -0.003779
362.5   330.0   395.0   508.0   468.0   548.0   0.0021299
362.5   330.0   395.0   593.0   548.0   638.0   -0.0003612
362.5   330.0   395.0   687.5   638.0   737.0   0.00017295
362.5   330.0   395.0   791.5   737.0   846.0   -3.8472e-05
362.5   330.0   395.0   906.5   846.0   967.0   3.8195e-05
362.5   330.0   395.0   1034.0   967.0   1101.0   5.1873e-06
362.5   330.0   395.0   1174.5   1101.0   1248.0   7.2345e-06
362.5   330.0   395.0   1329.0   1248.0   1410.0   7.0931e-06
362.5   330.0   395.0   1499.0   1410.0   1588.0   -1.1679e-06
362.5   330.0   395.0   1686.0   1588.0   1784.0   5.2209e-07
362.5   330.0   395.0   1892.0   1784.0   2000.0   6.4478e-07
362.5   330.0   395.0   2119.0   2000.0   2238.0   -5.7809e-07
431.5   395.0   468.0   115.0   97.0   133.0   -0.00036832
431.5   395.0   468.0   153.5   133.0   174.0   0.00023423
431.5   395.0   468.0   197.0   174.0   220.0   -0.00033229
431.5   395.0   468.0   246.0   220.0   272.0   -0.0013719
431.5   395.0   468.0   301.0   272.0   330.0   0.0037906
431.5   395.0   468.0   362.5   330.0   395.0   -0.0035105
431.5   395.0   468.0   431.5   395.0   468.0   0.014979
431.5   395.0   468.0   508.0   468.0   548.0   0.00069336
431.5   395.0   468.0   593.0   548.0   638.0   -0.00074809
431.5   395.0   468.0   687.5   638.0   737.0   0.00049223
431.5   395.0   468.0   791.5   737.0   846.0   -0.00016552
431.5   395.0   468.0   906.5   846.0   967.0   0.00014252
431.5   395.0   468.0   1034.0   967.0   1101.0   -3.8919e-05
431.5   395.0   468.0   1174.5   1101.0   1248.0   5.0561e-05
431.5   395.0   468.0   1329.0   1248.0   1410.0   -1.3978e-05
431.5   395.0   468.0   1499.0   1410.0   1588.0   2.2123e-05
431.5   395.0   468.0   1686.0   1588.0   1784.0   -3.353e-06
431.5   395.0   468.0   1892.0   1784.0   2000.0   2.4671e-06
431.5   395.0   468.0   2119.0   2000.0   2238.0   3.6946e-06
508.0   468.0   548.0   115.0   97.0   133.0   -0.0003314
508.0   468.0   548.0   153.5   133.0   174.0   0.00011536
508.0   468.0   548.0   197.0   174.0   220.0   0.00015511
508.0   468.0   548.0   246.0   220.0   272.0   0.00043913
508.0   468.0   548.0   301.0   272.0   330.0   -0.00083556
508.0   468.0   548.0   362.5   330.0   395.0   0.0015282
508.0   468.0   548.0   431.5   395.0   468.0   0.0015069
508.0   468.0   548.0   508.0   468.0   548.0   0.013868
