#: table_doi: 10.17182/hepdata.115022.v2/t33
#: name: ak7_correlations_y3_y1
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $1.0 < |y| < 1.5$and $|y| < 0.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y3_y1.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
115.0   97.0   133.0   115.0   97.0   133.0   0.038778
115.0   97.0   133.0   153.5   133.0   174.0   -0.0086368
115.0   97.0   133.0   197.0   174.0   220.0   0.001125
115.0   97.0   133.0   246.0   220.0   272.0   -0.00017671
115.0   97.0   133.0   301.0   272.0   330.0   -0.00046164
115.0   97.0   133.0   362.5   330.0   395.0   -0.00039224
115.0   97.0   133.0   431.5   395.0   468.0   -0.00036832
115.0   97.0   133.0   508.0   468.0   548.0   -0.0003314
115.0   97.0   133.0   593.0   548.0   638.0   -0.00027101
115.0   97.0   133.0   687.5   638.0   737.0   -0.00029175
115.0   97.0   133.0   791.5   737.0   846.0   -0.00020617
115.0   97.0   133.0   906.5   846.0   967.0   -0.00018419
115.0   97.0   133.0   1034.0   967.0   1101.0   -0.00011816
115.0   97.0   133.0   1174.5   1101.0   1248.0   -8.1091e-05
115.0   97.0   133.0   1329.0   1248.0   1410.0   -4.9197e-05
115.0   97.0   133.0   1499.0   1410.0   1588.0   -3.6401e-05
115.0   97.0   133.0   1686.0   1588.0   1784.0   -1.8739e-05
115.0   97.0   133.0   1892.0   1784.0   2000.0   -1.6077e-05
115.0   97.0   133.0   2119.0   2000.0   2238.0   -7.6502e-06
115.0   97.0   133.0   2369.0   2238.0   2500.0   -5.2969e-06
115.0   97.0   133.0   2643.5   2500.0   2787.0   -3.3199e-07
115.0   97.0   133.0   2945.0   2787.0   3103.0   -1.517e-06
153.5   133.0   174.0   115.0   97.0   133.0   -0.0093063
153.5   133.0   174.0   153.5   133.0   174.0   0.045974
153.5   133.0   174.0   197.0   174.0   220.0   0.0014891
153.5   133.0   174.0   246.0   220.0   272.0   -0.00015563
153.5   133.0   174.0   301.0   272.0   330.0   0.00070224
153.5   133.0   174.0   362.5   330.0   395.0   -3.0672e-06
153.5   133.0   174.0   431.5   395.0   468.0   0.00023423
153.5   133.0   174.0   508.0   468.0   548.0   0.00011536
153.5   133.0   174.0   593.0   548.0   638.0   0.00014965
153.5   133.0   174.0   687.5   638.0   737.0   0.00012074
153.5   133.0   174.0   791.5   737.0   846.0   9.6934e-05
153.5   133.0   174.0   906.5   846.0   967.0   8.1607e-05
153.5   133.0   174.0   1034.0   967.0   1101.0   5.3918e-05
153.5   133.0   174.0   1174.5   1101.0   1248.0   3.628e-05
153.5   133.0   174.0   1329.0   1248.0   1410.0   2.2522e-05
153.5   133.0   174.0   1499.0   1410.0   1588.0   1.6353e-05
153.5   133.0   174.0   1686.0   1588.0   1784.0   8.5924e-06
153.5   133.0   174.0   1892.0   1784.0   2000.0   7.2321e-06
153.5   133.0   174.0   2119.0   2000.0   2238.0   3.4489e-06
153.5   133.0   174.0   2369.0   2238.0   2500.0   2.426e-06
153.5   133.0   174.0   2643.5   2500.0   2787.0   1.3004e-07
153.5   133.0   174.0   2945.0   2787.0   3103.0   7.3249e-07
197.0   174.0   220.0   115.0   97.0   133.0   0.0026292
197.0   174.0   220.0   153.5   133.0   174.0   -0.0015564
197.0   174.0   220.0   197.0   174.0   220.0   0.01822
197.0   174.0   220.0   246.0   220.0   272.0   0.0061568
197.0   174.0   220.0   301.0   272.0   330.0   -0.0019462
197.0   174.0   220.0   362.5   330.0   395.0   0.00096272
197.0   174.0   220.0   431.5   395.0   468.0   -0.00033229
197.0   174.0   220.0   508.0   468.0   548.0   0.00015511
197.0   174.0   220.0   593.0   548.0   638.0   -0.00015622
197.0   174.0   220.0   687.5   638.0   737.0   1.4952e-05
197.0   174.0   220.0   791.5   737.0   846.0   -4.0995e-05
197.0   174.0   220.0   906.5   846.0   967.0   -1.4426e-05
197.0   174.0   220.0   1034.0   967.0   1101.0   -1.5716e-05
197.0   174.0   220.0   1174.5   1101.0   1248.0   -7.6348e-06
197.0   174.0   220.0   1329.0   1248.0   1410.0   -6.698e-06
197.0   174.0   220.0   1499.0   1410.0   1588.0   -3.6184e-06
197.0   174.0   220.0   1686.0   1588.0   1784.0   -2.5381e-06
197.0   174.0   220.0   1892.0   1784.0   2000.0   -1.6753e-06
197.0   174.0   220.0   2119.0   2000.0   2238.0   -8.1726e-07
197.0   174.0   220.0   2369.0   2238.0   2500.0   -7.1104e-07
197.0   174.0   220.0   2643.5   2500.0   2787.0   4.9953e-08
197.0   174.0   220.0   2945.0   2787.0   3103.0   -2.7933e-07
246.0   220.0   272.0   115.0   97.0   133.0   -0.00086856
246.0   220.0   272.0   153.5   133.0   174.0   0.00094065
246.0   220.0   272.0   197.0   174.0   220.0   0.0067624
246.0   220.0   272.0   246.0   220.0   272.0   0.02986
246.0   220.0   272.0   301.0   272.0   330.0   -0.0067996
246.0   220.0   272.0   362.5   330.0   395.0   0.0033763
246.0   220.0   272.0   431.5   395.0   468.0   -0.0013719
246.0   220.0   272.0   508.0   468.0   548.0   0.00043913
246.0   220.0   272.0   593.0   548.0   638.0   7.0548e-06
246.0   220.0   272.0   687.5   638.0   737.0   2.7162e-05
246.0   220.0   272.0   791.5   737.0   846.0   1.3184e-05
246.0   220.0   272.0   906.5   846.0   967.0   1.6276e-05
246.0   220.0   272.0   1034.0   967.0   1101.0   9.2778e-06
246.0   220.0   272.0   1174.5   1101.0   1248.0   5.4564e-06
246.0   220.0   272.0   1329.0   1248.0   1410.0   6.319e-06
246.0   220.0   272.0   1499.0   1410.0   1588.0   2.3723e-06
246.0   220.0   272.0   1686.0   1588.0   1784.0   2.5469e-06
246.0   220.0   272.0   1892.0   1784.0   2000.0   9.7739e-07
246.0   220.0   272.0   2119.0   2000.0   2238.0   4.8475e-07
246.0   220.0   272.0   2369.0   2238.0   2500.0   5.7395e-07
246.0   220.0   272.0   2643.5   2500.0   2787.0   -2.1357e-08
246.0   220.0   272.0   2945.0   2787.0   3103.0   2.6772e-07
301.0   272.0   330.0   115.0   97.0   133.0   -1.2284e-05
301.0   272.0   330.0   153.5   133.0   174.0   0.00010922
301.0   272.0   330.0   197.0   174.0   220.0   -0.002411
301.0   272.0   330.0   246.0   220.0   272.0   -0.0082964
301.0   272.0   330.0   301.0   272.0   330.0   0.026314
301.0   272.0   330.0   362.5   330.0   395.0   -0.0072862
301.0   272.0   330.0   431.5   395.0   468.0   0.0037906
301.0   272.0   330.0   508.0   468.0   548.0   -0.00083556
301.0   272.0   330.0   593.0   548.0   638.0   5.6996e-05
301.0   272.0   330.0   687.5   638.0   737.0   -1.588e-05
301.0   272.0   330.0   791.5   737.0   846.0   1.2708e-05
301.0   272.0   330.0   906.5   846.0   967.0   -1.5308e-06
301.0   272.0   330.0   1034.0   967.0   1101.0   2.7534e-06
301.0   272.0   330.0   1174.5   1101.0   1248.0   4.7219e-06
301.0   272.0   330.0   1329.0   1248.0   1410.0   -3.6478e-06
301.0   272.0   330.0   1499.0   1410.0   1588.0   2.3989e-06
301.0   272.0   330.0   1686.0   1588.0   1784.0   -6.7349e-07
301.0   272.0   330.0   1892.0   1784.0   2000.0   7.5254e-07
301.0   272.0   330.0   2119.0   2000.0   2238.0   7.4944e-07
301.0   272.0   330.0   2369.0   2238.0   2500.0   -2.7733e-07
301.0   272.0   330.0   2643.5   2500.0   2787.0   1.4245e-07
301.0   272.0   330.0   2945.0   2787.0   3103.0   -3.8385e-07
362.5   330.0   395.0   115.0   97.0   133.0   -0.00048274
362.5   330.0   395.0   153.5   133.0   174.0   0.0001807
362.5   330.0   395.0   197.0   174.0   220.0   0.0013357
362.5   330.0   395.0   246.0   220.0   272.0   0.0045359
362.5   330.0   395.0   301.0   272.0   330.0   -0.0088074
362.5   330.0   395.0   362.5   330.0   395.0   0.015826
362.5   330.0   395.0   431.5   395.0   468.0   -0.0035105
362.5   330.0   395.0   508.0   468.0   548.0   0.0015282
362.5   330.0   395.0   593.0   548.0   638.0   0.0002899
362.5   330.0   395.0   687.5   638.0   737.0   -8.3816e-05
362.5   330.0   395.0   791.5   737.0   846.0   6.4573e-05
362.5   330.0   395.0   906.5   846.0   967.0   5.9213e-08
362.5   330.0   395.0   1034.0   967.0   1101.0   2.3758e-05
362.5   330.0   395.0   1174.5   1101.0   1248.0   -5.1087e-08
362.5   330.0   395.0   1329.0   1248.0   1410.0   1.7681e-05
362.5   330.0   395.0   1499.0   1410.0   1588.0   1.0631e-06
362.5   330.0   395.0   1686.0   1588.0   1784.0   5.2749e-06
362.5   330.0   395.0   1892.0   1784.0   2000.0   5.651e-07
362.5   330.0   395.0   2119.0   2000.0   2238.0   -1.7012e-07
362.5   330.0   395.0   2369.0   2238.0   2500.0   1.5669e-06
362.5   330.0   395.0   2643.5   2500.0   2787.0   -5.8656e-07
362.5   330.0   395.0   2945.0   2787.0   3103.0   9.8512e-07
431.5   395.0   468.0   115.0   97.0   133.0   -0.00016671
431.5   395.0   468.0   153.5   133.0   174.0   8.7073e-05
431.5   395.0   468.0   197.0   174.0   220.0   -0.00058092
431.5   395.0   468.0   246.0   220.0   272.0   -0.0020233
431.5   395.0   468.0   301.0   272.0   330.0   0.0047318
431.5   395.0   468.0   362.5   330.0   395.0   -0.003779
431.5   395.0   468.0   431.5   395.0   468.0   0.014979
431.5   395.0   468.0   508.0   468.0   548.0   0.0015069
431.5   395.0   468.0   593.0   548.0   638.0   -0.001462
431.5   395.0   468.0   687.5   638.0   737.0   0.00068106
431.5   395.0   468.0   791.5   737.0   846.0   -0.00018297
431.5   395.0   468.0   906.5   846.0   967.0   0.00013204
431.5   395.0   468.0   1034.0   967.0   1101.0   -1.9278e-05
431.5   395.0   468.0   1174.5   1101.0   1248.0   4.7692e-05
431.5   395.0   468.0   1329.0   1248.0   1410.0   -1.5488e-05
431.5   395.0   468.0   1499.0   1410.0   1588.0   1.4299e-05
431.5   395.0   468.0   1686.0   1588.0   1784.0   1.2878e-06
431.5   395.0   468.0   1892.0   1784.0   2000.0   3.9019e-06
431.5   395.0   468.0   2119.0   2000.0   2238.0   2.3652e-06
431.5   395.0   468.0   2369.0   2238.0   2500.0   1.0991e-06
