#: table_doi: 10.17182/hepdata.115022.v2/t35
#: name: ak7_correlations_y3_y3
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $1.0 < |y| < 1.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y3_y3.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
115.0   97.0   133.0   115.0   97.0   133.0   1.0
115.0   97.0   133.0   153.5   133.0   174.0   -0.494
115.0   97.0   133.0   197.0   174.0   220.0   0.16568
115.0   97.0   133.0   246.0   220.0   272.0   -0.063153
115.0   97.0   133.0   301.0   272.0   330.0   0.031387
115.0   97.0   133.0   362.5   330.0   395.0   -0.01614
115.0   97.0   133.0   431.5   395.0   468.0   0.0069769
115.0   97.0   133.0   508.0   468.0   548.0   -0.0033414
115.0   97.0   133.0   593.0   548.0   638.0   0.0010259
115.0   97.0   133.0   687.5   638.0   737.0   -0.0007531
115.0   97.0   133.0   791.5   737.0   846.0   0.00011274
115.0   97.0   133.0   906.5   846.0   967.0   -0.00022249
115.0   97.0   133.0   1034.0   967.0   1101.0   1.0668e-05
115.0   97.0   133.0   1174.5   1101.0   1248.0   -6.6497e-05
115.0   97.0   133.0   1329.0   1248.0   1410.0   -1.141e-05
115.0   97.0   133.0   1499.0   1410.0   1588.0   -1.8845e-05
115.0   97.0   133.0   1686.0   1588.0   1784.0   1.2492e-06
115.0   97.0   133.0   1892.0   1784.0   2000.0   -2.4328e-06
115.0   97.0   133.0   2119.0   2000.0   2238.0   -7.7417e-08
153.5   133.0   174.0   115.0   97.0   133.0   -0.494
153.5   133.0   174.0   153.5   133.0   174.0   1.0
153.5   133.0   174.0   197.0   174.0   220.0   -0.36989
153.5   133.0   174.0   246.0   220.0   272.0   0.14502
153.5   133.0   174.0   301.0   272.0   330.0   -0.073206
153.5   133.0   174.0   362.5   330.0   395.0   0.036655
153.5   133.0   174.0   431.5   395.0   468.0   -0.016738
153.5   133.0   174.0   508.0   468.0   548.0   0.0072817
153.5   133.0   174.0   593.0   548.0   638.0   -0.0029794
153.5   133.0   174.0   687.5   638.0   737.0   0.001491
153.5   133.0   174.0   791.5   737.0   846.0   -0.00059138
153.5   133.0   174.0   906.5   846.0   967.0   0.00034797
153.5   133.0   174.0   1034.0   967.0   1101.0   -0.00011979
153.5   133.0   174.0   1174.5   1101.0   1248.0   8.4167e-05
153.5   133.0   174.0   1329.0   1248.0   1410.0   -2.0482e-05
153.5   133.0   174.0   1499.0   1410.0   1588.0   2.0454e-05
153.5   133.0   174.0   1686.0   1588.0   1784.0   -6.1675e-06
153.5   133.0   174.0   1892.0   1784.0   2000.0   2.6732e-06
153.5   133.0   174.0   2119.0   2000.0   2238.0   -7.0591e-07
197.0   174.0   220.0   115.0   97.0   133.0   0.16568
197.0   174.0   220.0   153.5   133.0   174.0   -0.36989
197.0   174.0   220.0   197.0   174.0   220.0   1.0
197.0   174.0   220.0   246.0   220.0   272.0   -0.49505
197.0   174.0   220.0   301.0   272.0   330.0   0.25718
197.0   174.0   220.0   362.5   330.0   395.0   -0.12797
197.0   174.0   220.0   431.5   395.0   468.0   0.059251
197.0   174.0   220.0   508.0   468.0   548.0   -0.025178
197.0   174.0   220.0   593.0   548.0   638.0   0.010927
197.0   174.0   220.0   687.5   638.0   737.0   -0.0050333
197.0   174.0   220.0   791.5   737.0   846.0   0.0023321
197.0   174.0   220.0   906.5   846.0   967.0   -0.0010888
197.0   174.0   220.0   1034.0   967.0   1101.0   0.00049445
197.0   174.0   220.0   1174.5   1101.0   1248.0   -0.00023996
197.0   174.0   220.0   1329.0   1248.0   1410.0   0.00010848
197.0   174.0   220.0   1499.0   1410.0   1588.0   -5.3481e-05
197.0   174.0   220.0   1686.0   1588.0   1784.0   2.4291e-05
197.0   174.0   220.0   1892.0   1784.0   2000.0   -7.0373e-06
197.0   174.0   220.0   2119.0   2000.0   2238.0   3.2277e-06
246.0   220.0   272.0   115.0   97.0   133.0   -0.063153
246.0   220.0   272.0   153.5   133.0   174.0   0.14502
246.0   220.0   272.0   197.0   174.0   220.0   -0.49505
246.0   220.0   272.0   246.0   220.0   272.0   1.0
246.0   220.0   272.0   301.0   272.0   330.0   -0.56875
246.0   220.0   272.0   362.5   330.0   395.0   0.28527
246.0   220.0   272.0   431.5   395.0   468.0   -0.13227
246.0   220.0   272.0   508.0   468.0   548.0   0.056191
246.0   220.0   272.0   593.0   548.0   638.0   -0.024457
246.0   220.0   272.0   687.5   638.0   737.0   0.011208
246.0   220.0   272.0   791.5   737.0   846.0   -0.0052323
246.0   220.0   272.0   906.5   846.0   967.0   0.0024103
246.0   220.0   272.0   1034.0   967.0   1101.0   -0.0011089
246.0   220.0   272.0   1174.5   1101.0   1248.0   0.00052767
246.0   220.0   272.0   1329.0   1248.0   1410.0   -0.00024543
246.0   220.0   272.0   1499.0   1410.0   1588.0   0.00011685
246.0   220.0   272.0   1686.0   1588.0   1784.0   -5.4173e-05
246.0   220.0   272.0   1892.0   1784.0   2000.0   1.5438e-05
246.0   220.0   272.0   2119.0   2000.0   2238.0   -7.324e-06
301.0   272.0   330.0   115.0   97.0   133.0   0.031387
301.0   272.0   330.0   153.5   133.0   174.0   -0.073206
301.0   272.0   330.0   197.0   174.0   220.0   0.25718
301.0   272.0   330.0   246.0   220.0   272.0   -0.56875
301.0   272.0   330.0   301.0   272.0   330.0   1.0
301.0   272.0   330.0   362.5   330.0   395.0   -0.58532
301.0   272.0   330.0   431.5   395.0   468.0   0.27574
301.0   272.0   330.0   508.0   468.0   548.0   -0.11701
301.0   272.0   330.0   593.0   548.0   638.0   0.050847
301.0   272.0   330.0   687.5   638.0   737.0   -0.023338
301.0   272.0   330.0   791.5   737.0   846.0   0.010988
301.0   272.0   330.0   906.5   846.0   967.0   -0.0050683
301.0   272.0   330.0   1034.0   967.0   1101.0   0.0023662
301.0   272.0   330.0   1174.5   1101.0   1248.0   -0.0011168
301.0   272.0   330.0   1329.0   1248.0   1410.0   0.00052849
301.0   272.0   330.0   1499.0   1410.0   1588.0   -0.00024714
301.0   272.0   330.0   1686.0   1588.0   1784.0   0.00011686
301.0   272.0   330.0   1892.0   1784.0   2000.0   -3.3087e-05
301.0   272.0   330.0   2119.0   2000.0   2238.0   1.6244e-05
362.5   330.0   395.0   115.0   97.0   133.0   -0.01614
362.5   330.0   395.0   153.5   133.0   174.0   0.036655
362.5   330.0   395.0   197.0   174.0   220.0   -0.12797
362.5   330.0   395.0   246.0   220.0   272.0   0.28527
362.5   330.0   395.0   301.0   272.0   330.0   -0.58532
362.5   330.0   395.0   362.5   330.0   395.0   1.0
362.5   330.0   395.0   431.5   395.0   468.0   -0.57892
362.5   330.0   395.0   508.0   468.0   548.0   0.25071
362.5   330.0   395.0   593.0   548.0   638.0   -0.10906
362.5   330.0   395.0   687.5   638.0   737.0   0.050291
362.5   330.0   395.0   791.5   737.0   846.0   -0.023776
362.5   330.0   395.0   906.5   846.0   967.0   0.011095
362.5   330.0   395.0   1034.0   967.0   1101.0   -0.0052095
362.5   330.0   395.0   1174.5   1101.0   1248.0   0.0024807
362.5   330.0   395.0   1329.0   1248.0   1410.0   -0.0011684
362.5   330.0   395.0   1499.0   1410.0   1588.0   0.00055066
362.5   330.0   395.0   1686.0   1588.0   1784.0   -0.0002591
362.5   330.0   395.0   1892.0   1784.0   2000.0   7.4236e-05
362.5   330.0   395.0   2119.0   2000.0   2238.0   -3.6603e-05
431.5   395.0   468.0   115.0   97.0   133.0   0.0069769
431.5   395.0   468.0   153.5   133.0   174.0   -0.016738
431.5   395.0   468.0   197.0   174.0   220.0   0.059251
431.5   395.0   468.0   246.0   220.0   272.0   -0.13227
431.5   395.0   468.0   301.0   272.0   330.0   0.27574
431.5   395.0   468.0   362.5   330.0   395.0   -0.57892
431.5   395.0   468.0   431.5   395.0   468.0   1.0
431.5   395.0   468.0   508.0   468.0   548.0   -0.5464
431.5   395.0   468.0   593.0   548.0   638.0   0.2426
431.5   395.0   468.0   687.5   638.0   737.0   -0.11254
431.5   395.0   468.0   791.5   737.0   846.0   0.053355
431.5   395.0   468.0   906.5   846.0   967.0   -0.024917
431.5   395.0   468.0   1034.0   967.0   1101.0   0.011805
431.5   395.0   468.0   1174.5   1101.0   1248.0   -0.0055961
431.5   395.0   468.0   1329.0   1248.0   1410.0   0.0026574
431.5   395.0   468.0   1499.0   1410.0   1588.0   -0.0012393
431.5   395.0   468.0   1686.0   1588.0   1784.0   0.00059153
431.5   395.0   468.0   1892.0   1784.0   2000.0   -0.00016792
431.5   395.0   468.0   2119.0   2000.0   2238.0   8.6268e-05
508.0   468.0   548.0   115.0   97.0   133.0   -0.0033414
508.0   468.0   548.0   153.5   133.0   174.0   0.0072817
508.0   468.0   548.0   197.0   174.0   220.0   -0.025178
508.0   468.0   548.0   246.0   220.0   272.0   0.056191
508.0   468.0   548.0   301.0   272.0   330.0   -0.11701
508.0   468.0   548.0   362.5   330.0   395.0   0.25071
508.0   468.0   548.0   431.5   395.0   468.0   -0.5464
508.0   468.0   548.0   508.0   468.0   548.0   1.0
508.0   468.0   548.0   593.0   548.0   638.0   -0.55766
508.0   468.0   548.0   687.5   638.0   737.0   0.26527
508.0   468.0   548.0   791.5   737.0   846.0   -0.12592
508.0   468.0   548.0   906.5   846.0   967.0   0.058862
508.0   468.0   548.0   1034.0   967.0   1101.0   -0.027783
508.0   468.0   548.0   1174.5   1101.0   1248.0   0.013243
508.0   468.0   548.0   1329.0   1248.0   1410.0   -0.0062378
508.0   468.0   548.0   1499.0   1410.0   1588.0   0.0029337
508.0   468.0   548.0   1686.0   1588.0   1784.0   -0.0013823
508.0   468.0   548.0   1892.0   1784.0   2000.0   0.00039755
508.0   468.0   548.0   2119.0   2000.0   2238.0   -0.00020221
593.0   548.0   638.0   115.0   97.0   133.0   0.0010259
593.0   548.0   638.0   153.5   133.0   174.0   -0.0029794
593.0   548.0   638.0   197.0   174.0   220.0   0.010927
593.0   548.0   638.0   246.0   220.0   272.0   -0.024457
593.0   548.0   638.0   301.0   272.0   330.0   0.050847
593.0   548.0   638.0   362.5   330.0   395.0   -0.10906
593.0   548.0   638.0   431.5   395.0   468.0   0.2426
593.0   548.0   638.0   508.0   468.0   548.0   -0.55766
593.0   548.0   638.0   593.0   548.0   638.0   1.0
593.0   548.0   638.0   687.5   638.0   737.0   -0.60745
593.0   548.0   638.0   791.5   737.0   846.0   0.29537
593.0   548.0   638.0   906.5   846.0   967.0   -0.13874
593.0   548.0   638.0   1034.0   967.0   1101.0   0.065808
593.0   548.0   638.0   1174.5   1101.0   1248.0   -0.031158
593.0   548.0   638.0   1329.0   1248.0   1410.0   0.014782
593.0   548.0   638.0   1499.0   1410.0   1588.0   -0.0068764
593.0   548.0   638.0   1686.0   1588.0   1784.0   0.0032736
593.0   548.0   638.0   1892.0   1784.0   2000.0   -0.00091754
593.0   548.0   638.0   2119.0   2000.0   2238.0   0.00047346
687.5   638.0   737.0   115.0   97.0   133.0   -0.0007531
687.5   638.0   737.0   153.5   133.0   174.0   0.001491
687.5   638.0   737.0   197.0   174.0   220.0   -0.0050333
687.5   638.0   737.0   246.0   220.0   272.0   0.011208
687.5   638.0   737.0   301.0   272.0   330.0   -0.023338
687.5   638.0   737.0   362.5   330.0   395.0   0.050291
687.5   638.0   737.0   431.5   395.0   468.0   -0.11254
687.5   638.0   737.0   508.0   468.0   548.0   0.26527
687.5   638.0   737.0   593.0   548.0   638.0   -0.60745
687.5   638.0   737.0   687.5   638.0   737.0   1.0
687.5   638.0   737.0   791.5   737.0   846.0   -0.6059
687.5   638.0   737.0   906.5   846.0   967.0   0.29311
687.5   638.0   737.0   1034.0   967.0   1101.0   -0.13914
687.5   638.0   737.0   1174.5   1101.0   1248.0   0.06604
687.5   638.0   737.0   1329.0   1248.0   1410.0   -0.031097
687.5   638.0   737.0   1499.0   1410.0   1588.0   0.0145
687.5   638.0   737.0   1686.0   1588.0   1784.0   -0.006841
687.5   638.0   737.0   1892.0   1784.0   2000.0   0.001916
687.5   638.0   737.0   2119.0   2000.0   2238.0   -0.00092949
791.5   737.0   846.0   115.0   97.0   133.0   0.00011274
791.5   737.0   846.0   153.5   133.0   174.0   -0.00059138
791.5   737.0   846.0   197.0   174.0   220.0   0.0023321
791.5   737.0   846.0   246.0   220.0   272.0   -0.0052323
791.5   737.0   846.0   301.0   272.0   330.0   0.010988
791.5   737.0   846.0   362.5   330.0   395.0   -0.023776
791.5   737.0   846.0   431.5   395.0   468.0   0.053355
791.5   737.0   846.0   508.0   468.0   548.0   -0.12592
791.5   737.0   846.0   593.0   548.0   638.0   0.29537
791.5   737.0   846.0   687.5   638.0   737.0   -0.6059
791.5   737.0   846.0   791.5   737.0   846.0   1.0
791.5   737.0   846.0   906.5   846.0   967.0   -0.59519
791.5   737.0   846.0   1034.0   967.0   1101.0   0.29124
791.5   737.0   846.0   1174.5   1101.0   1248.0   -0.13761
791.5   737.0   846.0   1329.0   1248.0   1410.0   0.065236
791.5   737.0   846.0   1499.0   1410.0   1588.0   -0.030193
791.5   737.0   846.0   1686.0   1588.0   1784.0   0.014297
791.5   737.0   846.0   1892.0   1784.0   2000.0   -0.0039387
791.5   737.0   846.0   2119.0   2000.0   2238.0   0.0018957
906.5   846.0   967.0   115.0   97.0   133.0   -0.00022249
906.5   846.0   967.0   153.5   133.0   174.0   0.00034797
906.5   846.0   967.0   197.0   174.0   220.0   -0.0010888
906.5   846.0   967.0   246.0   220.0   272.0   0.0024103
906.5   846.0   967.0   301.0   272.0   330.0   -0.0050683
906.5   846.0   967.0   362.5   330.0   395.0   0.011095
906.5   846.0   967.0   431.5   395.0   468.0   -0.024917
906.5   846.0   967.0   508.0   468.0   548.0   0.058862
906.5   846.0   967.0   593.0   548.0   638.0   -0.13874
906.5   846.0   967.0   687.5   638.0   737.0   0.29311
906.5   846.0   967.0   791.5   737.0   846.0   -0.59519
906.5   846.0   967.0   906.5   846.0   967.0   1.0
906.5   846.0   967.0   1034.0   967.0   1101.0   -0.5835
906.5   846.0   967.0   1174.5   1101.0   1248.0   0.2842
906.5   846.0   967.0   1329.0   1248.0   1410.0   -0.13417
906.5   846.0   967.0   1499.0   1410.0   1588.0   0.062636
906.5   846.0   967.0   1686.0   1588.0   1784.0   -0.029515
906.5   846.0   967.0   1892.0   1784.0   2000.0   0.0081472
906.5   846.0   967.0   2119.0   2000.0   2238.0   -0.0039398
1034.0   967.0   1101.0   115.0   97.0   133.0   1.0668e-05
1034.0   967.0   1101.0   153.5   133.0   174.0   -0.00011979
1034.0   967.0   1101.0   197.0   174.0   220.0   0.00049445
1034.0   967.0   1101.0   246.0   220.0   272.0   -0.0011089
1034.0   967.0   1101.0   301.0   272.0   330.0   0.0023662
1034.0   967.0   1101.0   362.5   330.0   395.0   -0.0052095
1034.0   967.0   1101.0   431.5   395.0   468.0   0.011805
1034.0   967.0   1101.0   508.0   468.0   548.0   -0.027783
1034.0   967.0   1101.0   593.0   548.0   638.0   0.065808
1034.0   967.0   1101.0   687.5   638.0   737.0   -0.13914
1034.0   967.0   1101.0   791.5   737.0   846.0   0.29124
1034.0   967.0   1101.0   906.5   846.0   967.0   -0.5835
1034.0   967.0   1101.0   1034.0   967.0   1101.0   1.0
1034.0   967.0   1101.0   1174.5   1101.0   1248.0   -0.56818
