#: table_doi: 10.17182/hepdata.115022.v2/t36
#: name: ak7_correlations_y3_y4
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $1.0 < |y| < 1.5$and $1.5 < |y| < 2.0$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y3_y4.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
115.0   97.0   133.0   115.0   97.0   133.0   0.0034669
115.0   97.0   133.0   153.5   133.0   174.0   0.0025789
115.0   97.0   133.0   197.0   174.0   220.0   -0.00084768
115.0   97.0   133.0   246.0   220.0   272.0   0.0002549
115.0   97.0   133.0   301.0   272.0   330.0   -0.00064775
115.0   97.0   133.0   362.5   330.0   395.0   -0.00016199
115.0   97.0   133.0   431.5   395.0   468.0   -0.00037033
115.0   97.0   133.0   508.0   468.0   548.0   -8.6324e-05
115.0   97.0   133.0   593.0   548.0   638.0   -0.00029946
115.0   97.0   133.0   687.5   638.0   737.0   -8.3453e-05
115.0   97.0   133.0   791.5   737.0   846.0   -8.9677e-05
115.0   97.0   133.0   906.5   846.0   967.0   -5.9875e-05
115.0   97.0   133.0   1034.0   967.0   1101.0   -3.1898e-05
115.0   97.0   133.0   1174.5   1101.0   1248.0   -4.6512e-06
115.0   97.0   133.0   1329.0   1248.0   1410.0   -6.2234e-06
115.0   97.0   133.0   1499.0   1410.0   1588.0   -2.2078e-06
153.5   133.0   174.0   115.0   97.0   133.0   0.0034435
153.5   133.0   174.0   153.5   133.0   174.0   0.0049498
153.5   133.0   174.0   197.0   174.0   220.0   0.0081903
153.5   133.0   174.0   246.0   220.0   272.0   -0.0021575
153.5   133.0   174.0   301.0   272.0   330.0   0.0015645
153.5   133.0   174.0   362.5   330.0   395.0   -0.00046663
153.5   133.0   174.0   431.5   395.0   468.0   0.00037874
153.5   133.0   174.0   508.0   468.0   548.0   -5.9588e-05
153.5   133.0   174.0   593.0   548.0   638.0   0.00018838
153.5   133.0   174.0   687.5   638.0   737.0   1.2469e-05
153.5   133.0   174.0   791.5   737.0   846.0   5.1578e-05
153.5   133.0   174.0   906.5   846.0   967.0   2.0796e-05
153.5   133.0   174.0   1034.0   967.0   1101.0   1.7459e-05
153.5   133.0   174.0   1174.5   1101.0   1248.0   6.9347e-07
153.5   133.0   174.0   1329.0   1248.0   1410.0   3.448e-06
153.5   133.0   174.0   1499.0   1410.0   1588.0   4.2452e-07
197.0   174.0   220.0   115.0   97.0   133.0   -0.0004584
197.0   174.0   220.0   153.5   133.0   174.0   0.0058586
197.0   174.0   220.0   197.0   174.0   220.0   -0.0099537
197.0   174.0   220.0   246.0   220.0   272.0   0.013113
197.0   174.0   220.0   301.0   272.0   330.0   -0.0053847
197.0   174.0   220.0   362.5   330.0   395.0   0.0025097
197.0   174.0   220.0   431.5   395.0   468.0   -0.00095743
197.0   174.0   220.0   508.0   468.0   548.0   0.00045717
197.0   174.0   220.0   593.0   548.0   638.0   -0.00028237
197.0   174.0   220.0   687.5   638.0   737.0   0.00010074
197.0   174.0   220.0   791.5   737.0   846.0   -6.0614e-05
197.0   174.0   220.0   906.5   846.0   967.0   1.9006e-05
197.0   174.0   220.0   1034.0   967.0   1101.0   -1.7347e-05
197.0   174.0   220.0   1174.5   1101.0   1248.0   5.7982e-06
197.0   174.0   220.0   1329.0   1248.0   1410.0   -3.5894e-06
197.0   174.0   220.0   1499.0   1410.0   1588.0   2.2201e-06
246.0   220.0   272.0   115.0   97.0   133.0   0.00013921
246.0   220.0   272.0   153.5   133.0   174.0   -0.0017467
246.0   220.0   272.0   197.0   174.0   220.0   0.0133
246.0   220.0   272.0   246.0   220.0   272.0   0.0023752
246.0   220.0   272.0   301.0   272.0   330.0   0.0052167
246.0   220.0   272.0   362.5   330.0   395.0   -0.0020845
246.0   220.0   272.0   431.5   395.0   468.0   0.00086664
246.0   220.0   272.0   508.0   468.0   548.0   -0.00052656
246.0   220.0   272.0   593.0   548.0   638.0   0.00040586
246.0   220.0   272.0   687.5   638.0   737.0   -0.00017595
246.0   220.0   272.0   791.5   737.0   846.0   9.7623e-05
246.0   220.0   272.0   906.5   846.0   967.0   -4.2857e-05
246.0   220.0   272.0   1034.0   967.0   1101.0   3.0656e-05
246.0   220.0   272.0   1174.5   1101.0   1248.0   -1.2177e-05
246.0   220.0   272.0   1329.0   1248.0   1410.0   6.6196e-06
246.0   220.0   272.0   1499.0   1410.0   1588.0   -5.0209e-06
301.0   272.0   330.0   115.0   97.0   133.0   -0.0004788
301.0   272.0   330.0   153.5   133.0   174.0   0.0012466
301.0   272.0   330.0   197.0   174.0   220.0   -0.0055816
301.0   272.0   330.0   246.0   220.0   272.0   0.0027415
301.0   272.0   330.0   301.0   272.0   330.0   -0.0001488
301.0   272.0   330.0   362.5   330.0   395.0   0.004624
301.0   272.0   330.0   431.5   395.0   468.0   -0.0012658
301.0   272.0   330.0   508.0   468.0   548.0   0.0010976
301.0   272.0   330.0   593.0   548.0   638.0   -0.00072538
301.0   272.0   330.0   687.5   638.0   737.0   0.00036181
301.0   272.0   330.0   791.5   737.0   846.0   -0.00017869
301.0   272.0   330.0   906.5   846.0   967.0   9.7028e-05
301.0   272.0   330.0   1034.0   967.0   1101.0   -5.6842e-05
301.0   272.0   330.0   1174.5   1101.0   1248.0   2.7455e-05
301.0   272.0   330.0   1329.0   1248.0   1410.0   -1.2439e-05
301.0   272.0   330.0   1499.0   1410.0   1588.0   1.1057e-05
362.5   330.0   395.0   115.0   97.0   133.0   -0.00016365
362.5   330.0   395.0   153.5   133.0   174.0   -0.00040975
362.5   330.0   395.0   197.0   174.0   220.0   0.0027579
362.5   330.0   395.0   246.0   220.0   272.0   -0.00083688
362.5   330.0   395.0   301.0   272.0   330.0   0.0025382
362.5   330.0   395.0   362.5   330.0   395.0   -0.0073531
362.5   330.0   395.0   431.5   395.0   468.0   0.0062105
362.5   330.0   395.0   508.0   468.0   548.0   -0.0023779
362.5   330.0   395.0   593.0   548.0   638.0   0.0017389
362.5   330.0   395.0   687.5   638.0   737.0   -0.00082562
362.5   330.0   395.0   791.5   737.0   846.0   0.00043739
362.5   330.0   395.0   906.5   846.0   967.0   -0.00021245
362.5   330.0   395.0   1034.0   967.0   1101.0   0.00013653
362.5   330.0   395.0   1174.5   1101.0   1248.0   -5.94e-05
362.5   330.0   395.0   1329.0   1248.0   1410.0   2.8808e-05
362.5   330.0   395.0   1499.0   1410.0   1588.0   -2.405e-05
431.5   395.0   468.0   115.0   97.0   133.0   -0.00032825
431.5   395.0   468.0   153.5   133.0   174.0   0.00035043
431.5   395.0   468.0   197.0   174.0   220.0   -0.0011709
431.5   395.0   468.0   246.0   220.0   272.0   0.00023119
431.5   395.0   468.0   301.0   272.0   330.0   -0.00037253
431.5   395.0   468.0   362.5   330.0   395.0   0.0059232
431.5   395.0   468.0   431.5   395.0   468.0   -0.0072597
431.5   395.0   468.0   508.0   468.0   548.0   0.0095294
431.5   395.0   468.0   593.0   548.0   638.0   -0.0047335
431.5   395.0   468.0   687.5   638.0   737.0   0.0023039
431.5   395.0   468.0   791.5   737.0   846.0   -0.0010616
431.5   395.0   468.0   906.5   846.0   967.0   0.00056418
431.5   395.0   468.0   1034.0   967.0   1101.0   -0.00030359
431.5   395.0   468.0   1174.5   1101.0   1248.0   0.00015019
431.5   395.0   468.0   1329.0   1248.0   1410.0   -6.6678e-05
431.5   395.0   468.0   1499.0   1410.0   1588.0   5.9989e-05
508.0   468.0   548.0   115.0   97.0   133.0   -0.00016589
508.0   468.0   548.0   153.5   133.0   174.0   -1.1587e-05
508.0   468.0   548.0   197.0   174.0   220.0   0.0004918
508.0   468.0   548.0   246.0   220.0   272.0   -4.4254e-05
508.0   468.0   548.0   301.0   272.0   330.0   0.00035806
508.0   468.0   548.0   362.5   330.0   395.0   -0.0019958
508.0   468.0   548.0   431.5   395.0   468.0   0.0083255
508.0   468.0   548.0   508.0   468.0   548.0   -0.0096599
508.0   468.0   548.0   593.0   548.0   638.0   0.010708
508.0   468.0   548.0   687.5   638.0   737.0   -0.0051395
508.0   468.0   548.0   791.5   737.0   846.0   0.0026491
508.0   468.0   548.0   906.5   846.0   967.0   -0.0012444
508.0   468.0   548.0   1034.0   967.0   1101.0   0.00075612
508.0   468.0   548.0   1174.5   1101.0   1248.0   -0.00033239
508.0   468.0   548.0   1329.0   1248.0   1410.0   0.00017412
508.0   468.0   548.0   1499.0   1410.0   1588.0   -0.00014417
593.0   548.0   638.0   115.0   97.0   133.0   -0.00028684
593.0   548.0   638.0   153.5   133.0   174.0   0.00016041
593.0   548.0   638.0   197.0   174.0   220.0   -0.00024281
593.0   548.0   638.0   246.0   220.0   272.0   5.3256e-05
593.0   548.0   638.0   301.0   272.0   330.0   -0.00014632
593.0   548.0   638.0   362.5   330.0   395.0   0.0010943
593.0   548.0   638.0   431.5   395.0   468.0   -0.0037095
593.0   548.0   638.0   508.0   468.0   548.0   0.0087251
593.0   548.0   638.0   593.0   548.0   638.0   -0.015901
593.0   548.0   638.0   687.5   638.0   737.0   0.011284
593.0   548.0   638.0   791.5   737.0   846.0   -0.0052656
593.0   548.0   638.0   906.5   846.0   967.0   0.0029909
593.0   548.0   638.0   1034.0   967.0   1101.0   -0.0015701
593.0   548.0   638.0   1174.5   1101.0   1248.0   0.00079788
593.0   548.0   638.0   1329.0   1248.0   1410.0   -0.00038144
593.0   548.0   638.0   1499.0   1410.0   1588.0   0.00033428
687.5   638.0   737.0   115.0   97.0   133.0   -8.3901e-05
687.5   638.0   737.0   153.5   133.0   174.0   2.0632e-05
687.5   638.0   737.0   197.0   174.0   220.0   8.7264e-05
687.5   638.0   737.0   246.0   220.0   272.0   4.4543e-06
687.5   638.0   737.0   301.0   272.0   330.0   4.0439e-05
687.5   638.0   737.0   362.5   330.0   395.0   -0.00044968
687.5   638.0   737.0   431.5   395.0   468.0   0.0016935
687.5   638.0   737.0   508.0   468.0   548.0   -0.0038045
687.5   638.0   737.0   593.0   548.0   638.0   0.009156
687.5   638.0   737.0   687.5   638.0   737.0   -0.016663
687.5   638.0   737.0   791.5   737.0   846.0   0.01277
687.5   638.0   737.0   906.5   846.0   967.0   -0.0058192
687.5   638.0   737.0   1034.0   967.0   1101.0   0.0033945
687.5   638.0   737.0   1174.5   1101.0   1248.0   -0.0015124
687.5   638.0   737.0   1329.0   1248.0   1410.0   0.00085311
687.5   638.0   737.0   1499.0   1410.0   1588.0   -0.00065249
791.5   737.0   846.0   115.0   97.0   133.0   -0.00015661
791.5   737.0   846.0   153.5   133.0   174.0   7.4759e-05
791.5   737.0   846.0   197.0   174.0   220.0   -5.5184e-05
791.5   737.0   846.0   246.0   220.0   272.0   8.2824e-06
791.5   737.0   846.0   301.0   272.0   330.0   -1.1407e-05
791.5   737.0   846.0   362.5   330.0   395.0   0.00022424
791.5   737.0   846.0   431.5   395.0   468.0   -0.00070757
791.5   737.0   846.0   508.0   468.0   548.0   0.0018361
791.5   737.0   846.0   593.0   548.0   638.0   -0.0035932
791.5   737.0   846.0   687.5   638.0   737.0   0.011501
791.5   737.0   846.0   791.5   737.0   846.0   -0.01565
791.5   737.0   846.0   906.5   846.0   967.0   0.014006
791.5   737.0   846.0   1034.0   967.0   1101.0   -0.0064162
791.5   737.0   846.0   1174.5   1101.0   1248.0   0.0034838
791.5   737.0   846.0   1329.0   1248.0   1410.0   -0.0017404
791.5   737.0   846.0   1499.0   1410.0   1588.0   0.0011674
906.5   846.0   967.0   115.0   97.0   133.0   -6.2279e-05
