old_name,new_name,cfac,simu_fac
NMCPD_dw_ite, NMC_NC_NOTFIXED_EM-F2, ,
NMC, NMC_NC_NOTFIXED_P_EM-SIGMARED, ,
SLACP_dwsh, SLAC_NC_NOTFIXED_P_EM-F2, ,
SLACD_dw_ite, SLAC_NC_NOTFIXED_D_EM-F2, ,
BCDMSP_dwsh, BCDMS_NC_NOTFIXED_P_EM-F2, ,
BCDMSD_dw_ite, BCDMS_NC_NOTFIXED_D_EM-F2, ,
CHORUSNUPb_dw_ite, CHORUS_CC_NOTFIXED_PB_NU-SIGMARED, ,
CHORUSNBPb_dw_ite, CHORUS_CC_NOTFIXED_PB_NB-SIGMARED, ,
NTVNUDMNFe_dw_ite, NUTEV_CC_NOTFIXED_FE_NU-SIGMARED, [MAS],
NTVNBDMNFe_dw_ite, NUTEV_CC_NOTFIXED_FE_NB-SIGMARED, [MAS],
HERACOMBNCEM, HERA_NC_318GEV_EM-SIGMARED, ,
HERACOMBNCEP460, HERA_NC_225GEV_EP-SIGMARED, ,
HERACOMBNCEP575, HERA_NC_251GEV_EP-SIGMARED, ,
HERACOMBNCEP820, HERA_NC_300GEV_EP-SIGMARED, ,
HERACOMBNCEP920, HERA_NC_318GEV_EP-SIGMARED, ,
HERACOMBCCEM, HERA_CC_318GEV_EM-SIGMARED, ,
HERACOMBCCEP, HERA_CC_318GEV_EP-SIGMARED, ,
HERACOMB_SIGMARED_C, HERA_NC_318GEV_EAVG_CHARM-SIGMARED, ,
HERACOMB_SIGMARED_B, HERA_NC_318GEV_EAVG_BOTTOM-SIGMARED, ,
DYE886R_dw_ite, DYE866_Z0_800GEV_DW_RATIO_PDXSECRATIO, [QCD],
DYE886P, DYE866_Z0_800GEV_PXSEC, [QCD],
DYE605_dw_ite, DYE605_Z0_38P8GEV_DW_PXSEC, [QCD],
DYE906R_dw_ite, DYE906_Z0_120GEV_DW_PDXSECRATIO, [ACC QCD],
CDFZRAP_NEW, CDF_Z0_1P96TEV_ZRAP, [QCD],
D0ZRAP_40, D0_Z0_1P96TEV_ZRAP, [QCD],
D0WMASY, D0_WPWM_1P96TEV_ASY, [QCD],
ATLASWZRAP36PB, ATLAS_DY_7TEV_36PB_ETA, [QCD],
ATLASLOMASSDY11EXT, ATLAS_Z0_7TEV_LOMASS_M, [QCD],
ATLASWZRAP11CC, ATLAS_DY_7TEV_46FB_CC, [QCD],
ATLASWZRAP11CF, ATLAS_Z0_7TEV_46FB_CF-Y, [QCD],
ATLAS_DY_2D_8TEV_LOWMASS, ATLAS_Z0_8TEV_LOWMASS_M-Y, [QCD],
ATLAS_WZ_TOT_13TEV, ATLAS_DY_13TEV_TOT, [NRM QCD],
ATLAS_WP_JET_8TEV_PT, ATLAS_WJ_8TEV_WP-PT, [QCD],
ATLAS_WM_JET_8TEV_PT, ATLAS_WJ_8TEV_WM-PT, [QCD],
ATLASZPT8TEVMDIST, ATLAS_Z0J_8TEV_PT-M, [QCD],
ATLASZPT8TEVYDIST, ATLAS_Z0J_8TEV_PT-Y, [QCD],
ATLAS_1JET_8TEV_R06_DEC, ATLAS_1JET_8TEV_R06_PTY, [QCD],
ATLAS_2JET_7TEV_R06, ATLAS_2JET_7TEV_R06_M12Y, [QCD],
ATLASPHT15_SF, ATLAS_PH_13TEV_XSEC, [QCD EWK],
